,index,phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,time,clustered_index,environment_index
84,958,1512738389835,2.7729955000000004,4.1313623999999995,5.1756496,15.0,26.2,256,87,55,27,15,14,8,5,1,0,0,0,0,0,0,0,468,-3.1832366000000003,55.9431793,140.0,8.0,13:06:29.835000,4,4
85,318,1512479200683,1.6495849999999999,2.787379,4.786978700000001,10.3,67.5,122,53,40,22,14,11,9,3,2,1,0,0,0,0,0,0,277,-3.2019796,55.9433743,125.0,8.0,13:06:40.683000,39,4
86,805,1512652003394,2.201828,3.1975894,3.4436525999999996,21.6,43.5,178,84,56,31,12,6,5,1,0,0,0,0,0,0,0,0,373,-3.1836130000000002,55.9451072,133.0,24.0,13:06:43.394000,35,4
87,959,1512738411336,2.717948,4.191267,4.8618193,14.0,27.1,201,102,59,37,13,19,8,4,0,0,0,0,0,0,0,0,443,-3.1830887999999997,55.942862899999994,135.0,8.0,13:06:51.336000,4,4
88,319,1512479221533,1.4305132999999999,2.547974,5.5907540000000004,10.400001,67.4,94,43,35,20,10,18,8,3,0,1,1,0,0,0,0,0,233,-3.2024417,55.943493999999994,128.0,6.0,13:07:01.533000,63,1
89,806,1512652024150,2.120633,3.2378007999999996,7.982355,21.5,42.100002,166,74,61,43,11,7,6,1,1,0,0,0,0,0,1,0,371,-3.1836178,55.94510989999999,142.0,56.0,13:07:04.150000,35,4
90,960,1512738430772,2.7252457000000003,4.1658545,13.137664000000001,13.1,29.9,206,101,59,33,12,13,7,6,0,2,1,0,0,1,0,0,441,-3.1827354,55.9426114,133.0,5.0,13:07:10.772000,38,4
91,320,1512479243606,1.2917053,2.4575825,5.119691,10.400001,67.4,90,43,26,28,11,19,9,4,1,2,0,0,0,0,0,0,233,-3.202925,55.943631499999995,124.0,4.0,13:07:23.606000,37,4
92,807,1512652044340,1.7425311,2.7999822999999995,3.5107105000000005,21.300001,41.9,148,61,47,43,13,10,6,3,1,0,0,0,0,0,0,0,332,-3.1836194,55.9451105,136.0,52.0,13:07:24.340000,35,4
93,961,1512738451550,4.586313,7.5038285,20.992088,13.1,32.5,398,158,104,63,42,33,16,12,5,4,3,1,0,0,0,0,839,-3.182255,55.942315799999996,133.0,6.0,13:07:31.550000,57,0
94,321,1512479263050,1.6754488,2.9745142,5.364027,10.400001,67.4,125,51,38,19,8,23,13,4,0,0,1,0,0,0,0,0,282,-3.2031403999999997,55.9438468,128.0,17.0,13:07:43.050000,37,4
95,808,1512652064468,2.0964093,3.1429088,3.6100934000000002,21.1,42.5,179,82,60,33,11,10,4,4,0,0,0,0,0,0,0,0,383,-3.1836207,55.9451108,134.0,45.0,13:07:44.468000,35,4
96,962,1512738470916,4.161265,7.072164999999999,20.382393,12.900001,31.1,413,104,88,62,30,19,27,13,9,5,1,1,0,0,0,0,772,-3.1819892999999997,55.94206170000001,138.0,9.0,13:07:50.916000,57,0
97,809,1512652085230,2.0690236,3.163384,3.7450671000000004,20.9,42.0,155,73,69,39,9,8,4,2,1,0,0,0,0,0,0,0,360,-3.1836232000000004,55.94511239999999,133.0,19.0,13:08:05.230000,35,4
100,810,1512652105894,2.1583169,3.27916,3.6212864000000002,20.800001,42.2,155,85,65,38,8,11,5,2,0,0,0,0,0,0,0,0,369,-3.1836244,55.9451132,132.0,21.0,13:08:25.894000,35,4
101,323,1512479308379,2.1528585,3.2731616000000003,3.7788167,10.400001,67.0,203,76,49,33,8,9,13,2,0,0,0,0,0,0,0,0,393,-3.2022131000000003,55.94445160000001,135.0,7.0,13:08:28.379000,73,4
103,811,1512652124977,2.1609926,3.3902094,4.2795214999999995,20.7,42.7,158,76,70,39,10,7,6,5,1,0,0,0,0,0,0,0,372,-3.1836252,55.945113799999994,132.0,25.0,13:08:44.977000,35,4
104,324,1512479329231,2.0069435,3.1232944,5.456789499999999,10.5,66.8,160,64,48,31,15,8,8,0,2,0,1,0,0,0,0,0,337,-3.2020217,55.944536899999996,129.0,6.0,13:08:49.231000,73,4
105,965,1512738532653,3.8692336000000003,6.434935,9.9531975,12.5,32.600002,345,122,83,46,17,20,34,10,3,1,0,0,0,0,0,0,681,-3.1814231,55.9412708,131.0,13.0,13:08:52.653000,18,0
106,812,1512652145849,2.1676536,3.2953930000000002,3.9790223,20.6,43.0,161,78,70,37,16,9,3,0,2,0,0,0,0,0,0,0,376,-3.1836252999999997,55.945113799999994,132.0,24.0,13:09:05.849000,35,4
107,325,1512479350639,1.6706505,2.8968002999999998,4.5094047,10.5,67.1,124,46,45,27,15,17,9,2,1,1,0,0,0,0,0,0,287,-3.2014331,55.944599399999994,127.0,8.0,13:09:10.639000,24,4
108,966,1512738552760,3.7362883,5.93269,19.654781,12.400001,33.100002,271,137,86,60,15,20,14,5,4,2,0,0,1,1,0,0,616,-3.1811327,55.9410191,133.0,10.0,13:09:12.760000,25,2
109,813,1512652165845,2.1380444,3.2995562999999994,5.279837000000001,20.6,42.2,161,79,64,40,14,6,3,5,0,2,0,0,0,0,0,0,374,-3.1836264,55.9451145,132.0,36.0,13:09:25.845000,35,4
110,326,1512479370657,1.612188,2.8039099999999997,3.8067148,10.6,66.6,135,39,41,24,15,17,12,0,2,0,0,0,0,0,0,0,285,-3.2008817,55.9447705,136.0,7.0,13:09:30.657000,74,2
111,967,1512738572873,2.2105365000000003,3.5198772000000003,5.891796,12.3,33.2,203,62,54,42,13,16,6,4,1,2,0,0,0,0,0,0,403,-3.1814162999999995,55.940788299999994,136.0,6.0,13:09:32.873000,25,2
112,814,1512652185960,2.6299262000000003,4.0555654,13.446628,,,212,93,67,52,14,18,2,4,0,2,2,0,1,0,0,0,467,-3.1839102,55.9452662,137.5,19.605999999999998,13:09:45.960000,53,2
113,968,1512738592235,2.663888,4.1220737000000005,5.186785700000001,12.1,32.600002,215,87,60,35,11,17,8,5,1,0,0,0,0,0,0,0,439,-3.1819696,55.940532499999996,141.0,5.0,13:09:52.235000,44,1
114,327,1512479393450,1.4273813,2.5213987999999996,5.1170464,10.7,66.3,119,48,30,35,16,20,3,4,2,2,0,0,0,0,0,0,279,-3.2003437000000003,55.944863299999994,141.0,9.0,13:09:53.450000,36,2
115,815,1512652206069,2.3057357999999994,3.4168966,4.562972,20.4,40.8,194,84,62,30,15,7,5,3,0,1,0,0,0,0,0,0,401,-3.1836772,55.945136600000005,132.0,7.0,13:10:06.069000,35,4
116,969,1512738613081,2.0994477000000002,3.1455802999999998,3.4113059999999997,11.8,32.0,173,63,45,31,17,10,4,1,0,0,0,0,0,0,0,0,344,-3.182586,55.9404346,136.0,11.0,13:10:13.081000,8,1
117,328,1512479414861,1.3438921,2.512998,6.0090965999999995,10.7,66.4,85,41,42,22,21,17,9,2,0,2,1,0,0,0,0,0,242,-3.1997245,55.9447777,139.0,9.0,13:10:14.861000,6,4
118,816,1512652226183,2.8746370999999997,4.4871992999999994,6.7927003,,,201,93,90,55,11,11,5,2,4,1,0,0,0,0,0,0,473,-3.1839199000000002,55.9452123,137.0,9.0,13:10:26.183000,53,2
120,970,1512738633416,3.0361849999999997,4.5667976999999995,6.710312400000001,11.3,32.4,291,71,56,37,16,18,6,4,2,1,0,0,0,0,0,0,502,-3.1827628,55.940457200000004,133.0,5.0,13:10:33.416000,8,1
121,329,1512479434990,1.5480605,2.6300535,4.6563606,10.8,66.1,129,49,33,18,15,17,11,2,0,0,1,0,0,0,0,0,275,-3.1993357000000002,55.944933299999995,140.0,10.0,13:10:34.990000,6,4
122,817,1512652246940,3.2545669999999998,4.982512,6.6780443,19.2,32.7,230,107,110,56,15,10,6,2,2,1,0,0,0,0,0,0,539,-3.1840436000000003,55.94514399999999,140.0,9.0,13:10:46.940000,53,2
124,971,1512738654874,1.6863328000000002,2.7623546,2.9799632999999996,11.1,33.600002,101,58,37,33,18,13,5,0,0,0,0,0,0,0,0,0,265,-3.1835482999999996,55.9403788,138.0,6.0,13:10:54.874000,29,3
125,330,1512479455660,1.3778341,2.4396815,3.4112370000000003,10.900001,65.9,104,42,35,32,15,13,9,1,2,0,0,0,0,0,0,0,253,-3.1988867,55.9449798,141.0,7.0,13:10:55.660000,79,1
126,818,1512652266411,2.6866746,4.076263,4.6419086,18.9,35.0,214,87,79,40,15,18,4,1,1,0,0,0,0,0,0,0,459,-3.184148,55.9450505,132.0,3.9,13:11:06.411000,9,2
127,972,1512738673844,1.8699328999999998,2.9281113,3.2840064,11.0,33.9,111,55,54,30,11,6,4,2,0,0,0,0,0,0,0,0,273,-3.1838252999999996,55.9403201,140.0,7.0,13:11:13.844000,43,3
128,331,1512479477160,1.4705033,2.4969618,8.637296000000001,10.900001,65.700005,103,43,40,23,13,11,8,1,1,1,0,0,0,0,1,0,245,-3.1984068,55.944945499999996,140.0,5.0,13:11:17.160000,26,2
129,819,1512652286525,3.4088538,5.1069283,7.283067,18.6,34.9,288,121,83,39,22,14,10,4,0,2,0,0,0,0,0,0,583,-3.1842097000000003,55.9448037,132.0,6.0,13:11:26.525000,9,2
